id;product_id;revision;quantity;relation_type
1;Home index input;full-range Idaho;94236;Plastic Plain
2;Grocery Program;North applications;49384;Sleek Avon
3;1080p;Small web-readiness Tala;34649;blue
4;next scalable;Grocery;34499;Technician
5;Key Rubber;Greece generate web-enabled;13958;deposit Mountain
6;motivating payment Facilitator;product;53812;Frozen
7;moderator;Buckinghamshire;52065;Generic transmitting Division
8;bus state Neck;recontextualize fuchsia;85039;Springs Health
9;Berkshire Generic Tuna;RSS;80547;mobile
10;Field orchid technologies;transmitting back;59628;array China Concrete
