id;name;description;change_indicator;type;subtype;jhi_group;sheet
1;Won Arizona;TCP;true;withdrawal facilitate;e-business;Brook Belize;Manager
2;Account Small Avon;Rica Squares Implemented;true;alarm Money;index;Auto Cheese real-time;payment
3;embrace Small transmitting;Solutions;true;RAM blockchains;Steel Account;turquoise digital Table;open-source Borders
4;Analyst Clothing;Home;true;Card Wall;Interactions;Greenland;Technician ROI Station
5;invoice;deposit;true;24/7;JBOD Garden ROI;Extended Buckinghamshire Bedfordshire;Managed reintermediate Borders
6;Books infomediaries;e-enable Accountability Fresh;true;RAM;Buckinghamshire;Books;programming overriding
7;SAS Rubber;Licensed Steel;true;asymmetric Director Jewelery;calculating HDD;Chicken wireless Pants;Diverse
8;Rubber interface;Market Supervisor;true;European Automotive;Table;invoice benchmark;Fresh ivory
9;payment;Account;true;Electronics Central;transparent;Nebraska Liaison;protocol
10;Georgia Profound;Bedfordshire;true;implementation Frozen programming;circuit Rubber;application program;Metal Car Bedfordshire
