id;name;description;change_indicator;type;subtype;jhi_group;sheet
1;Steel;Group Graphic payment;false;circuit;Applications;mission-critical Peso vortals;Village Team-oriented Health
2;bandwidth;Fantastic;true;Mountain lavender;metrics Auto;port Shilling;Operative New bus
3;orange deliverables;ivory Hungary Fish;true;Kuna bandwidth;SMS Pizza;Metal Cotton revolutionize;solution dot-com incubate
4;Wooden cohesive Enhanced;CSS;true;Italy Representative;withdrawal driver envisioneer;Table COM Rapids;Mauritius
5;Directives Inlet Pizza;payment Sleek Future;true;generate hard;transmitter Mariana;Outdoors;Compatible
6;Cambodia New;PNG deposit;true;actuating;connect vertical Monaco;evolve;encoding generating Fantastic
7;Intelligent Money tan;parsing yellow Grocery;false;Gloves Franc;blue teal Dynamic;Frozen;online
8;Technician Cheese pricing;Plastic foreground;false;Fish multi-byte mesh;Incredible synthesize;Berkshire Chips;Arizona Implementation
9;Berkshire;mesh;true;Card Tactics Regional;Designer;Salad COM;cyan B2B
10;experiences Lempira;Wooden;true;Plastic infomediaries Underpass;pink best-of-breed;Keys;attitude-oriented PNG
