id;impact_matrix_number;status;revision;reviser;revision_description;date_revised;title;is_auto_layout_enabled
1;5689;48253;Handmade;data-warehouse;recontextualize Intelligent override;cross-platform;Afghani;true
2;87187;72677;Chips Oklahoma;digital Executive;Utah;orchestrate;Dalasi reintermediate;false
3;3992;64337;Computer;Gloves ROI Rue;Implementation;Bedfordshire protocol impactful;hard Comoros;false
4;94713;79575;Buckinghamshire Handcrafted;implementation mobile state;Home synergize;Antigua Home;SAS revolutionary;true
5;41339;49558;Chief;schemas Surinam;Specialist Pizza;Malta mobile navigating;Chips executive Iran;false
6;20239;72719;Towels mobile;Tuvalu;invoice;Account;SCSI Rubber;true
7;40923;89104;JSON;fuchsia Loan Checking;Handmade;bus driver;SDD lime clear-thinking;false
8;50128;14136;Rustic;Borders Leu;Dinar;TCP Coves;Awesome Incredible generate;false
9;91491;27096;JBOD;product Assurance Clothing;Incredible;Loan index stable;Plastic copy;true
10;17301;70017;Account JBOD collaboration;Chief AI Orchestrator;brand;Metal contextually-based Automotive;support Ville;true
